post_id,post_topic,content_type,engagement,post_age_hours,author_experience,author_network_size
P00001,Career,Article,0.1221,6.8,8.3,272
P00002,Career,Video,0.4864,12.2,9.8,333
P00003,Data Science,Article,0.2736,9.7,6.3,515
P00004,Data Science,Text,0.367,33.5,3.8,336
P00005,Finance,Text,0.3171,7.4,14.8,168
P00006,Machine Learning,Text,0.7258,3.6,4.0,244
P00007,Finance,Video,0.6584,157.5,1.4,381
P00008,Career,Article,0.4018,36.9,3.0,560
P00009,Leadership,Video,0.393,31.3,12.1,735
P00010,AI,Video,0.3913,47.8,2.7,265
P00011,Data Science,Image,0.5914,26.2,2.8,188
P00012,Marketing,Article,0.1024,5.8,6.4,161
P00013,Marketing,Text,0.5319,21.8,6.2,840
P00014,Leadership,Video,0.7405,23.8,8.3,233
P00015,Leadership,Video,0.5363,5.9,9.1,179
P00016,Software,Text,0.2626,2.6,5.6,378
P00017,Finance,Text,0.1983,0.2,14.5,1202
P00018,Machine Learning,Job Opportunity,0.1753,24.6,14.1,158
P00019,Leadership,Text,0.5333,28.5,4.4,530
P00020,Finance,Article,0.1589,15.4,18.3,230
P00021,Data Science,Job Opportunity,0.1225,53.5,10.4,361
P00022,Leadership,Image,0.7493,33.6,5.5,632
P00023,Design,Article,0.057,20.0,1.6,874
P00024,Career,Job Opportunity,0.3318,1.5,4.1,216
P00025,Machine Learning,Text,0.4286,13.4,3.2,602
P00026,Career,Image,0.3242,17.8,1.3,399
P00027,Marketing,Video,0.7049,105.8,1.6,456
P00028,AI,Text,0.6328,21.0,6.4,888
P00029,Data Science,Job Opportunity,0.0481,1.7,2.6,187
P00030,Software,Image,0.2678,1.1,18.0,614
P00031,Software,Article,0.0634,83.4,6.7,374
P00032,Marketing,Video,0.4895,4.6,9.7,852
P00033,Data Science,Image,0.1597,73.2,1.1,459
P00034,Leadership,Text,0.7329,10.7,6.7,293
P00035,Career,Text,0.5338,10.5,5.7,663
P00036,AI,Article,0.2584,40.4,7.4,210
P00037,Career,Job Opportunity,0.2421,36.8,0.5,240
P00038,Machine Learning,Text,0.5523,13.6,14.9,181
P00039,AI,Text,0.1957,86.6,4.9,200
