metric,point_estimate,ci_lower_95,ci_upper_95
Precision@5,0.45423866666666673,0.43288888888888893,0.47556666666666664
Precision@10,0.44262222222222225,0.4264388888888889,0.4577833333333333
Recall@5,0.4892088438522004,0.464582686742285,0.5133788217247702
Recall@10,0.8991117671510424,0.885043627227262,0.91409893836537
NDCG@5,0.5005192851133579,0.4763188598582529,0.5233707471647477
NDCG@10,0.6837902243479569,0.6671601841923376,0.6998477874180233
Gender_Exposure_DI,0.9475913358336092,0.9092679830678652,0.988236939892607
Age_Exposure_DI,0.9304933003642737,0.8671999811688864,0.9774066735840513
Location_Exposure_DI,0.8702292417207785,0.7917419686420363,0.9278072198514818
Exposure_SPD,-0.022664202468170237,-0.039425752504555836,-0.004988914729818943
Selection_DI,0.9534852758380026,0.9195428949485671,0.9878640909934477
Selection_SPD,-0.04216501436590371,-0.07385472539326533,-0.010669787616352457
Worst_Intersectional_DI,0.5301060282452832,0.3927696693745868,0.6412756451041126
