protected_attribute,counterfactual_value,sample_count,mean_original_score,mean_counterfactual_score,mean_score_difference,mean_absolute_score_difference,maximum_absolute_score_difference,changed_predictions,percentage_predictions_changed
gender,Male,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
gender,Female,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
age_group,26-35,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
age_group,18-25,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
age_group,36-45,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
age_group,46-55,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
age_group,56+,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Delhi,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Hyderabad,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Other,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Kolkata,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Mumbai,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Bengaluru,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Chennai,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Pune,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
location,Ahmedabad,30000,0.52048033,0.52048033,0.0,0.0,0.0,0,0.0
