attribute,group,candidate_count,top_k_count,selection_rate,exposure_share,mean_position_exposure,relevance_aware_ratio
gender,Female,2018,1740,0.8622398414271556,0.4418111925937224,0.4085928581635585,0.7890943746985387
gender,Male,2416,2185,0.9043874172185431,0.5581888074062776,0.43118079936550674,0.8257780873338924
age_group,18-25,1412,1253,0.8873937677053825,0.31761951298228547,0.4198050882233245,0.8160182765180799
age_group,26-35,1400,1247,0.8907142857142857,0.316491423054607,0.42189961469514253,0.8113069424951546
age_group,36-45,867,771,0.889273356401384,0.19695549838281734,0.4239593633629063,0.8114342086147408
age_group,46-55,447,390,0.87248322147651,0.10041675667005705,0.41925078681870614,0.7895807639134239
age_group,56+,308,264,0.8571428571428571,0.06851680891023311,0.41516585763957875,0.7910274412236264
location,Ahmedabad,229,203,0.8864628820960698,0.050796329527451736,0.41397304981111144,0.8008688975274253
location,Bengaluru,760,651,0.8565789473684211,0.1668838146997645,0.40980367201041557,0.8011554580859327
location,Chennai,403,351,0.8709677419354839,0.08939307059603194,0.41397491770065925,0.7830082513165532
location,Delhi,543,474,0.8729281767955801,0.12268280465809689,0.4216567777469686,0.797614543553937
location,Hyderabad,508,469,0.9232283464566929,0.11985362798822749,0.4403142002406974,0.8487383661757544
location,Kolkata,261,217,0.8314176245210728,0.05507538040355561,0.39381496695076873,0.741053403514653
location,Mumbai,764,701,0.9175392670157068,0.17840766495100124,0.43580817225335383,0.8328372185519011
location,Other,537,479,0.8919925512104283,0.12111832912192129,0.42093089674652506,0.8110981835281527
location,Pune,429,380,0.8857808857808858,0.09578897805394936,0.416709562950173,0.8182518379500253
