intersection_type,intersection,sample_count,statistically_unstable,exposure_DI,selection_DI,fairness_DI
Gender x Age Group,Female x 18-25,629,False,0.9039461649057323,0.9323052464228935,0.9039461649057323
Gender x Age Group,Female x 26-35,652,False,0.9227651840855569,0.9495705521472392,0.9227651840855569
Gender x Age Group,Female x 36-45,382,False,0.9721077049701042,0.9730104712041885,0.9721077049701042
Gender x Age Group,Female x 46-55,229,False,0.8903345315285295,0.9043668122270743,0.8903345315285295
Gender x Age Group,Female x 56+,126,False,0.8789650814023049,0.891031746031746,0.8789650814023049
Gender x Age Group,Male x 18-25,783,False,0.9780979733572658,0.995338441890166,0.9780979733572658
Gender x Age Group,Male x 26-35,748,False,0.9733294688889452,0.989451871657754,0.9733294688889452
Gender x Age Group,Male x 36-45,485,False,0.9404848417286298,0.9663917525773195,0.9404848417286298
Gender x Age Group,Male x 46-55,218,False,1.0,1.0,1.0
Gender x Age Group,Male x 56+,182,False,0.9731535715727605,0.9642307692307691,0.9731535715727605
Gender x Location,Female x Ahmedabad,133,False,0.9395485789652782,0.9653739612188366,0.9395485789652782
Gender x Location,Female x Bengaluru,365,False,0.8596678622456115,0.8779379956741168,0.8596678622456115
Gender x Location,Female x Chennai,166,False,0.8637906468009876,0.8839568801521877,0.8637906468009876
Gender x Location,Female x Delhi,250,False,0.9091439406198164,0.9063157894736842,0.9091439406198164
Gender x Location,Female x Hyderabad,224,False,0.9742260561047711,0.9922462406015037,0.9742260561047711
Gender x Location,Female x Kolkata,105,False,0.7721585713176607,0.7912280701754385,0.7721585713176607
Gender x Location,Female x Mumbai,354,False,0.9699702300936262,0.9783675289919714,0.9699702300936262
Gender x Location,Female x Other,202,False,0.9688708195787192,0.9614382490880666,0.9688708195787192
Gender x Location,Female x Pune,219,False,0.9293949401722993,0.9557798606104301,0.9293949401722993
Gender x Location,Male x Ahmedabad,96,False,0.9155581779524773,0.944078947368421,0.9155581779524773
Gender x Location,Male x Bengaluru,395,False,0.9760000497570536,0.9669553630912724,0.9760000497570536
Gender x Location,Male x Chennai,237,False,0.9755168955705193,0.978791916500111,0.9755168955705193
Gender x Location,Male x Delhi,293,False,0.9788254073124159,0.9721573558469552,0.9788254073124159
Gender x Location,Male x Hyderabad,284,False,1.0,0.9991660489251296,1.0
Gender x Location,Male x Kolkata,156,False,0.9596637503238369,0.9682860998650472,0.9596637503238369
Gender x Location,Male x Mumbai,410,False,0.9858978054308773,1.0,0.9858978054308773
Gender x Location,Male x Other,335,False,0.9307888064533711,0.9630007855459544,0.9307888064533711
Gender x Location,Male x Pune,210,False,0.9421440147148026,0.9556390977443608,0.9421440147148026
Age Group x Location,18-25 x Ahmedabad,92,False,0.5846839989049872,0.8586956521739131,0.5846839989049872
Age Group x Location,18-25 x Bengaluru,256,False,0.6001171783713417,0.84375,0.6001171783713417
Age Group x Location,18-25 x Chennai,114,False,0.6552376450581199,0.9210526315789473,0.6552376450581199
Age Group x Location,18-25 x Delhi,233,False,0.6161647154729124,0.8540772532188842,0.6161647154729124
Age Group x Location,18-25 x Hyderabad,163,False,0.6234382267272058,0.8895705521472392,0.6234382267272058
Age Group x Location,18-25 x Kolkata,74,False,0.6061741909111169,0.8378378378378378,0.6061741909111169
Age Group x Location,18-25 x Mumbai,222,False,0.6614537290267811,0.9459459459459459,0.6614537290267811
Age Group x Location,18-25 x Other,153,False,0.6601691710267112,0.9477124183006536,0.6601691710267112
Age Group x Location,18-25 x Pune,105,False,0.6117627172653286,0.8761904761904762,0.6117627172653286
Age Group x Location,26-35 x Ahmedabad,79,False,0.6465875875972018,0.9240506329113924,0.6465875875972018
Age Group x Location,26-35 x Bengaluru,219,False,0.6137510308660505,0.8584474885844748,0.6137510308660505
Age Group x Location,26-35 x Chennai,127,False,0.594057328384914,0.84251968503937,0.594057328384914
Age Group x Location,26-35 x Delhi,160,False,0.5995761723613005,0.85625,0.5995761723613005
Age Group x Location,26-35 x Hyderabad,169,False,0.6685146304592717,0.9467455621301775,0.6685146304592717
Age Group x Location,26-35 x Kolkata,65,False,0.6190060647261669,0.9076923076923077,0.6190060647261669
Age Group x Location,26-35 x Mumbai,233,False,0.6690001179843887,0.927038626609442,0.6690001179843887
Age Group x Location,26-35 x Other,190,False,0.623466212610531,0.8842105263157894,0.623466212610531
Age Group x Location,26-35 x Pune,158,False,0.6119335361763292,0.879746835443038,0.6119335361763292
Age Group x Location,36-45 x Ahmedabad,26,True,0.6739474515273247,0.9230769230769231,0.6739474515273247
Age Group x Location,36-45 x Bengaluru,162,False,0.6086080751674495,0.8827160493827161,0.6086080751674495
Age Group x Location,36-45 x Chennai,75,False,0.6477726981508454,0.9066666666666666,0.6477726981508454
Age Group x Location,36-45 x Delhi,97,False,0.6831600100460602,0.9484536082474226,0.6831600100460602
Age Group x Location,36-45 x Hyderabad,76,False,0.699543461806943,0.9605263157894737,0.699543461806943
Age Group x Location,36-45 x Kolkata,65,False,0.5552330622429981,0.7692307692307693,0.5552330622429981
Age Group x Location,36-45 x Mumbai,201,False,0.621536404440729,0.8805970149253731,0.621536404440729
Age Group x Location,36-45 x Other,102,False,0.6003597112772149,0.8431372549019608,0.6003597112772149
Age Group x Location,36-45 x Pune,63,False,0.6655872818945774,0.9206349206349206,0.6655872818945774
Age Group x Location,46-55 x Ahmedabad,17,True,0.7202390749984263,1.0,0.7202390749984263
Age Group x Location,46-55 x Bengaluru,78,False,0.5857331895658768,0.7948717948717948,0.5857331895658768
Age Group x Location,46-55 x Chennai,38,False,0.6416502656544897,0.8947368421052632,0.6416502656544897
Age Group x Location,46-55 x Delhi,46,False,0.6256742828586123,0.8478260869565217,0.6256742828586123
Age Group x Location,46-55 x Hyderabad,52,False,0.6850927028356107,0.9423076923076923,0.6850927028356107
Age Group x Location,46-55 x Kolkata,40,False,0.49755234172784696,0.725,0.49755234172784696
Age Group x Location,46-55 x Mumbai,69,False,0.64061585876599,0.9130434782608695,0.64061585876599
Age Group x Location,46-55 x Other,42,False,0.7097529942539426,0.9761904761904762,0.7097529942539426
Age Group x Location,46-55 x Pune,65,False,0.5988296121556326,0.8615384615384616,0.5988296121556326
Age Group x Location,56+ x Ahmedabad,15,True,0.4518511230685993,0.6666666666666666,0.4518511230685993
Age Group x Location,56+ x Bengaluru,45,False,0.7172784094450279,0.9333333333333333,0.7172784094450279
Age Group x Location,56+ x Chennai,49,False,0.5257186979975906,0.7551020408163265,0.5257186979975906
Age Group x Location,56+ x Delhi,7,True,1.0,1.0,1.0
Age Group x Location,56+ x Hyderabad,48,False,0.6308377998497491,0.875,0.6308377998497491
Age Group x Location,56+ x Kolkata,17,True,0.7202390749984263,1.0,0.7202390749984263
Age Group x Location,56+ x Mumbai,39,False,0.6367119429233119,0.8974358974358975,0.6367119429233119
Age Group x Location,56+ x Other,50,False,0.5335972103028573,0.78,0.5335972103028573
Age Group x Location,56+ x Pune,38,False,0.6552053279983098,0.9210526315789473,0.6552053279983098
Gender x Age x Location (3-Way),Female x 18-25 x Ahmedabad,46,False,0.5562249750748428,0.8695652173913043,0.5562249750748428
Gender x Age x Location (3-Way),Female x 18-25 x Bengaluru,140,False,0.49057588372389027,0.7571428571428571,0.49057588372389027
Gender x Age x Location (3-Way),Female x 18-25 x Chennai,64,False,0.5739821031358224,0.875,0.5739821031358224
Gender x Age x Location (3-Way),Female x 18-25 x Delhi,98,False,0.5786421234629271,0.8469387755102041,0.5786421234629271
Gender x Age x Location (3-Way),Female x 18-25 x Hyderabad,87,False,0.5735381379489644,0.8850574712643678,0.5735381379489644
Gender x Age x Location (3-Way),Female x 18-25 x Kolkata,53,False,0.5093242458775668,0.7735849056603774,0.5093242458775668
Gender x Age x Location (3-Way),Female x 18-25 x Mumbai,89,False,0.6124689132966803,0.9325842696629213,0.6124689132966803
Gender x Age x Location (3-Way),Female x 18-25 x Other,9,True,0.8241988243334365,1.0,0.8241988243334365
Gender x Age x Location (3-Way),Female x 18-25 x Pune,43,False,0.6755009926447482,1.0,0.6755009926447482
Gender x Age x Location (3-Way),Female x 26-35 x Ahmedabad,70,False,0.603114860308311,0.9142857142857143,0.603114860308311
Gender x Age x Location (3-Way),Female x 26-35 x Bengaluru,94,False,0.5126683671953508,0.776595744680851,0.5126683671953508
Gender x Age x Location (3-Way),Female x 26-35 x Chennai,41,False,0.571591085409684,0.8536585365853658,0.571591085409684
Gender x Age x Location (3-Way),Female x 26-35 x Delhi,80,False,0.5335914868450566,0.8125,0.5335914868450566
Gender x Age x Location (3-Way),Female x 26-35 x Hyderabad,57,False,0.628151017718227,0.9473684210526315,0.628151017718227
Gender x Age x Location (3-Way),Female x 26-35 x Kolkata,10,True,0.6396587213360693,1.0,0.6396587213360693
Gender x Age x Location (3-Way),Female x 26-35 x Mumbai,129,False,0.6125724989296223,0.8992248062015504,0.6125724989296223
Gender x Age x Location (3-Way),Female x 26-35 x Other,112,False,0.5938630747447926,0.9017857142857143,0.5938630747447926
Gender x Age x Location (3-Way),Female x 26-35 x Pune,59,False,0.5420836621492111,0.847457627118644,0.5420836621492111
Gender x Age x Location (3-Way),Female x 36-45 x Ahmedabad,17,True,0.6204432135573172,0.8823529411764706,0.6204432135573172
Gender x Age x Location (3-Way),Female x 36-45 x Bengaluru,84,False,0.5795288951220838,0.8809523809523809,0.5795288951220838
Gender x Age x Location (3-Way),Female x 36-45 x Chennai,17,True,0.6204432135573172,0.8823529411764706,0.6204432135573172
