intersection,sample_count,statistically_unstable,top_k_count,selection_rate,selection_rate_ci_lower,selection_rate_ci_upper,mean_score,mean_interaction_rate,total_exposure,exposure_share,mean_position_exposure,exposure_DI,exposure_SPD,selection_DI,selection_SPD,relevance_aware_ratio,age_group,location
18-25 x Ahmedabad,92,False,79,0.8586956521739131,0.7731123836110048,0.9155238662011853,0.5020327568054199,0.42391304347826086,36.05940987838888,0.019321613736357508,0.39195010737379216,0.5846839989049872,-0.278412187657109,0.8586956521739131,-0.14130434782608692,0.7807261619100004,18-25,Ahmedabad
18-25 x Bengaluru,256,False,216,0.84375,0.7942275431635906,0.8831081875277229,0.5064676403999329,0.53515625,102.9877578190032,0.05518364506971294,0.4022959289804813,0.6001171783713417,-0.2680663660504199,0.84375,-0.15625,0.7943171426762976,18-25,Bengaluru
18-25 x Chennai,114,False,105,0.9210526315789473,0.8567410271260313,0.9579118628550959,0.531620979309082,0.5175438596491229,50.07411371462568,0.026831073682220433,0.4392466115318042,0.6552376450581199,-0.23111568349909695,0.9210526315789473,-0.07894736842105265,0.8262401760417137,18-25,Chennai
18-25 x Delhi,233,False,199,0.8540772532188842,0.8030076305681956,0.893660522323864,0.529918909072876,0.5536480686695279,96.24148711808573,0.051568809522385975,0.4130535927814838,0.6161647154729124,-0.2573087022494174,0.8540772532188842,-0.14592274678111583,0.7794656610841556,18-25,Delhi
18-25 x Hyderabad,163,False,145,0.8895705521472392,0.8322025893418278,0.9289984540430355,0.5182892680168152,0.5398773006134969,68.12250531805174,0.036501893373945715,0.417929480478845,0.6234382267272058,-0.2524328145520562,0.8895705521472392,-0.11042944785276076,0.806363369394108,18-25,Hyderabad
18-25 x Kolkata,74,False,62,0.8378378378378378,0.7375997655871838,0.904730299570778,0.504304051399231,0.47297297297297297,30.07036781376802,0.01611252191223552,0.40635632180767595,0.6061741909111169,-0.2640059732232252,0.8378378378378378,-0.16216216216216217,0.805776437211259,18-25,Kolkata
18-25 x Mumbai,222,False,210,0.9459459459459459,0.9079086021209365,0.9688120729008486,0.5142355561256409,0.527027027027027,98.43782804606526,0.052745668799531464,0.44341363984714083,0.6614537290267811,-0.22694865518376034,0.9459459459459459,-0.05405405405405406,0.8622772862847383,18-25,Mumbai
18-25 x Other,153,False,145,0.9477124183006536,0.9002224758254797,0.9732702709967919,0.5100645422935486,0.49019607843137253,67.71053565151139,0.03628114880838479,0.4425525205981137,0.6601691710267112,-0.2278097744327875,0.9477124183006536,-0.05228758169934644,0.8676402374651229,18-25,Other
18-25 x Pune,105,False,92,0.8761904761904762,0.7996263614011154,0.9261990582913551,0.4999302327632904,0.5047619047619047,43.06077921183423,0.02307313807751109,0.410102659160326,0.6117627172653286,-0.26025963587057516,0.8761904761904762,-0.12380952380952381,0.8203197812093584,18-25,Pune
26-35 x Ahmedabad,79,False,73,0.9240506329113924,0.8440439721363859,0.9647284320663336,0.5124817490577698,0.46835443037974683,34.24238719365217,0.01834800350304854,0.43344793916015406,0.6465875875972018,-0.2369143558707471,0.9240506329113924,-0.07594936708860756,0.8457821960627391,26-35,Ahmedabad
