intersection,sample_count,statistically_unstable,top_k_count,selection_rate,selection_rate_ci_lower,selection_rate_ci_upper,mean_score,mean_interaction_rate,total_exposure,exposure_share,mean_position_exposure,exposure_DI,exposure_SPD,selection_DI,selection_SPD,relevance_aware_ratio,gender,age_group
Female x 18-25,629,False,538,0.8553259141494436,0.8256766783605454,0.8806612109311827,0.519075870513916,0.5310015898251192,252.56832381019038,0.1353329855135667,0.4015394655169958,0.9039461649057323,-0.04266781264416569,0.9323052464228935,-0.06210527851110692,0.7735660398150426,Female,18-25
Female x 26-35,652,False,568,0.8711656441717791,0.8432592453996507,0.8947238285621107,0.5121293067932129,0.5,267.2541550445525,0.1432020537946241,0.40989901080452834,0.9227651840855569,-0.03430826735663317,0.9495705521472392,-0.0462655484887714,0.8003818671717551,Female,26-35
Female x 36-45,382,False,341,0.8926701570680629,0.8576284202021479,0.919892718005863,0.5163665413856506,0.5314136125654451,164.95421536302862,0.08838696041275235,0.4318173177042634,0.9721077049701042,-0.012389960456898108,0.9730104712041885,-0.024761035592487657,0.8362612274325473,Female,36-45
Female x 46-55,229,False,190,0.8296943231441049,0.7756657593033153,0.8728437853828578,0.5226022601127625,0.5545851528384279,90.56791506882843,0.0485287551229699,0.3954930789031809,0.8903345315285295,-0.048714199257980595,0.9043668122270743,-0.08773686951644566,0.7567764418352209,Female,46-55
Female x 56+,126,False,103,0.8174603174603174,0.74096226837539,0.8751730842388723,0.5363886952400208,0.5238095238095238,49.195778487461126,0.026360437749809344,0.3904426864084216,0.8789650814023049,-0.0537645917527399,0.891031746031746,-0.09997087520023307,0.72790998369887,Female,56+
Male x 18-25,783,False,715,0.913154533844189,0.8913573002846437,0.9309174752229045,0.5107437968254089,0.508301404853129,340.1964607611438,0.1822865274687188,0.4344782385199793,0.9780979733572658,-0.009729039641182213,0.995338441890166,-0.004276658816361523,0.8506774653368918,Male,18-25
Male x 26-35,748,False,679,0.9077540106951871,0.884881122295374,0.9264599899814673,0.5269067287445068,0.5200534759358288,323.4053055286471,0.1732893692599829,0.4323600341292073,0.9733294688889452,-0.011847244031954196,0.989451871657754,-0.00967718196536338,0.8205627496149427,Male,26-35
Male x 36-45,485,False,430,0.8865979381443299,0.8552870926236864,0.9118325633139424,0.527297854423523,0.488659793814433,202.61855267261112,0.10856853797006502,0.4177702116961054,0.9404848417286298,-0.026437066465056114,0.9663917525773195,-0.030833254516220654,0.7922850589878457,Male,36-45
Male x 46-55,218,False,200,0.9174311926605505,0.8732698783036301,0.9471353117058183,0.5397783517837524,0.6009174311926605,96.83718663913321,0.051888001547087156,0.4442072781611615,1.0,0.0,1.0,0.0,0.8229438559238869,Male,46-55
Male x 56+,182,False,161,0.8846153846153846,0.8300477144961265,0.9232820028545636,0.5168511271476746,0.5384615384615384,78.67530566552912,0.04215637116042378,0.432281899261149,0.9731535715727605,-0.011925378900012495,0.9642307692307691,-0.03281580804516593,0.8363760405182159,Male,56+
