intersection,sample_count,statistically_unstable,top_k_count,selection_rate,selection_rate_ci_lower,selection_rate_ci_upper,mean_score,mean_interaction_rate,total_exposure,exposure_share,mean_position_exposure,exposure_DI,exposure_SPD,selection_DI,selection_SPD,relevance_aware_ratio,gender,location
Female x Ahmedabad,133,False,119,0.8947368421052632,0.8310546224420156,0.9362559030122323,0.5076584815979004,0.45112781954887216,55.65414849120283,0.029821008263847676,0.41845224429475814,0.9395485789652782,-0.026923602854729556,0.9653739612188366,-0.03209242618741981,0.8242790369179736,Female,Ahmedabad
Female x Bengaluru,365,False,297,0.8136986301369863,0.7705620114195291,0.85030071122347,0.5096657872200012,0.5013698630136987,139.74948538141234,0.07488157974578127,0.3828753024148283,0.8596678622456115,-0.06250054473465938,0.8779379956741168,-0.11313063815569668,0.7512281813210216,Female,Bengaluru
Female x Chennai,166,False,136,0.8192771084337349,0.7537362752742177,0.8703746610334947,0.5365607738494873,0.5662650602409639,63.862107519079764,0.0342190562195779,0.38471149107879377,0.8637906468009876,-0.060664356070693926,0.8839568801521877,-0.10755215985894806,0.7169951845691773,Female,Chennai
Female x Delhi,250,False,210,0.84,0.7894621432010622,0.8802468406691939,0.5295845866203308,0.54,101.22768818359357,0.05424055183110568,0.40491075273437427,0.9091439406198164,-0.04046509441511342,0.9063157894736842,-0.086829268292683,0.7645818306729958,Female,Delhi
Female x Hyderabad,224,False,206,0.9196428571428571,0.8765662608538058,0.9485683940994598,0.5145313739776611,0.5714285714285714,97.19287313181975,0.052078588055466155,0.43389675505276676,0.9742260561047711,-0.011479092096720933,0.9922462406015037,-0.007186411149825878,0.8432853213565259,Female,Hyderabad
Female x Kolkata,105,False,77,0.7333333333333333,0.64161109764051,0.8085844158396298,0.5193774700164795,0.47619047619047616,36.109581672605835,0.01934849714991279,0.34390077783434125,0.7721585713176607,-0.10147506931514644,0.7912280701754385,-0.1934959349593497,0.6621403462561237,Female,Kolkata
Female x Mumbai,354,False,321,0.9067796610169492,0.8719735095088883,0.932851865740943,0.527444064617157,0.5706214689265536,152.9284647799572,0.0819432357805548,0.43200131293773225,0.9699702300936262,-0.01337453421175544,0.9783675289919714,-0.020049607275733794,0.8190466855500564,Female,Mumbai
Female x Other,202,False,180,0.8910891089108911,0.8406104642817511,0.9269700442257616,0.5038629770278931,0.47029702970297027,87.16535573375468,0.04670557117711355,0.4315116620482905,0.9688708195787192,-0.01386418510119719,0.9614382490880666,-0.03574015938179187,0.8564067647788353,Female,Other
Female x Pune,219,False,194,0.8858447488584474,0.8369138835953098,0.9214723423158306,0.5096936225891113,0.4977168949771689,90.65068288063506,0.048573104370362594,0.41393005881568523,0.9293949401722993,-0.03144578833380246,0.9557798606104301,-0.04098451943423553,0.8121154365499571,Female,Pune
Male x Ahmedabad,96,False,84,0.875,0.7941135793103388,0.9270287100760494,0.5297150015830994,0.4479166666666667,39.14567991554169,0.020975321263604064,0.407767499120226,0.9155581779524773,-0.03760834802926172,0.944078947368421,-0.05182926829268297,0.7697865793900066,Male,Ahmedabad
Male x Bengaluru,395,False,354,0.8962025316455696,0.862210926380156,0.9225617753640954,0.5132253170013428,0.5443037974683544,171.7013053465035,0.09200223495398321,0.43468684897848986,0.9760000497570536,-0.010688998170997832,0.9669553630912724,-0.03062673664711335,0.8469707837451685,Male,Bengaluru
Male x Chennai,237,False,215,0.9071729957805907,0.8634573954807814,0.9378991807917563,0.5231907963752747,0.5189873417721519,102.96978431428593,0.05517401437645405,0.4344716637733584,0.9755168955705193,-0.010904183376129306,0.978791916500111,-0.019656272512092232,0.8304268094611517,Male,Chennai
Male x Delhi,293,False,264,0.9010238907849829,0.8614674081931195,0.9302006059935712,0.5278475880622864,0.5255972696245734,127.73194213301039,0.0684422528269912,0.43594519499320955,0.9788254073124159,-0.009430652156278141,0.9721573558469552,-0.025805377507700067,0.8258921795845503,Male,Delhi
Male x Hyderabad,284,False,263,0.926056338028169,0.8896092448391488,0.9511309400403127,0.5221431255340576,0.5,126.4867405904545,0.06777503993276134,0.4453758471494877,1.0,0.0,0.9991660489251296,-0.0007729302645139713,0.8529765601987943,Male,Hyderabad
Male x Kolkata,156,False,140,0.8974358974358975,0.839890024990691,0.9358779853395359,0.539535403251648,0.5512820512820513,66.6761247015448,0.03572688325364282,0.4274110557791333,0.9596637503238369,-0.017964791370354394,0.9682860998650472,-0.029393370856785506,0.7921835216062401,Male,Kolkata
Male x Mumbai,410,False,380,0.926829268292683,0.8974657907726885,0.9482684225108481,0.5196871757507324,0.5073170731707317,180.02897882160508,0.09646442917044641,0.4390950702965978,0.9858978054308773,-0.006280776852889913,1.0,0.0,0.8449218891389566,Male,Mumbai
Male x Other,335,False,299,0.8925373134328358,0.85481185612663,0.9213620257107831,0.5280699729919434,0.5074626865671642,138.87453581912928,0.07441275794480776,0.4145508531914307,0.9307888064533711,-0.03082499395805699,0.9630007855459544,-0.03429195485984715,0.785030155838373,Male,Other
Male x Pune,210,False,186,0.8857142857142857,0.8355822451481879,0.9219878441141446,0.5088242888450623,0.5333333333333333,88.11771962498916,0.04721587368358677,0.4196081886904246,0.9421440147148026,-0.025767658459063092,0.9556390977443608,-0.0411149825783973,0.8246622613925491,Male,Pune
