user_id,items_entered_top_k,items_left_top_k,top_k_overlap,top_k_jaccard,top_k_changed,changed_positions,max_rank_change,ordering_changed,kendall_tau,spearman_rho
U0002,2,2,0.8,0.6666666666666666,True,8,7,True,0.19999999999999996,0.19999999999999996
U0006,0,0,1.0,1.0,False,6,5,True,0.4,0.4
U0034,1,1,0.9,0.8181818181818182,True,10,7,True,0.0,0.0
U0035,0,0,1.0,1.0,False,9,7,True,0.09999999999999998,0.09999999999999998
U0037,0,0,1.0,1.0,False,0,0,False,1.0,1.0
U0044,0,0,1.0,1.0,False,2,1,True,0.8,0.8
U0050,0,0,1.0,1.0,False,8,8,True,0.19999999999999996,0.19999999999999996
U0058,0,0,1.0,1.0,False,8,5,True,0.19999999999999996,0.19999999999999996
U0067,0,0,1.0,1.0,False,8,6,True,0.19999999999999996,0.19999999999999996
U0072,0,0,1.0,1.0,False,7,6,True,0.30000000000000004,0.30000000000000004
U0075,0,0,1.0,1.0,False,0,0,False,1.0,1.0
U0080,0,0,1.0,1.0,False,7,5,True,0.30000000000000004,0.30000000000000004
U0089,0,0,1.0,1.0,False,6,3,True,0.4,0.4
U0097,0,0,1.0,1.0,False,5,3,True,0.5,0.5
U0098,2,2,0.8,0.6666666666666666,True,14,10,True,0.0,0.0
U0111,0,0,1.0,1.0,False,8,7,True,0.19999999999999996,0.19999999999999996
U0123,0,0,1.0,1.0,False,6,6,True,0.4,0.4
U0128,0,0,1.0,1.0,False,9,8,True,0.09999999999999998,0.09999999999999998
U0131,0,0,1.0,1.0,False,6,3,True,0.4,0.4
U0133,1,1,0.9,0.8181818181818182,True,11,6,True,0.0,0.0
U0137,2,2,0.8,0.6666666666666666,True,14,9,True,0.0,0.0
U0140,0,0,1.0,1.0,False,8,8,True,0.19999999999999996,0.19999999999999996
U0162,1,1,0.9,0.8181818181818182,True,12,8,True,0.0,0.0
U0163,1,1,0.9,0.8181818181818182,True,10,6,True,0.0,0.0
U0164,0,0,1.0,1.0,False,10,5,True,0.0,0.0
U0168,0,0,1.0,1.0,False,8,5,True,0.19999999999999996,0.19999999999999996
U0171,1,1,0.9,0.8181818181818182,True,11,9,True,0.0,0.0
U0175,3,3,0.7,0.5384615384615384,True,13,6,True,0.0,0.0
U0182,0,0,1.0,1.0,False,8,4,True,0.19999999999999996,0.19999999999999996
U0185,0,0,1.0,1.0,False,8,7,True,0.19999999999999996,0.19999999999999996
U0187,0,0,1.0,1.0,False,5,4,True,0.5,0.5
U0188,0,0,1.0,1.0,False,6,3,True,0.4,0.4
U0194,1,1,0.9,0.8181818181818182,True,14,10,True,0.0,0.0
U0201,0,0,1.0,1.0,False,6,5,True,0.4,0.4
U0202,2,2,0.8,0.6666666666666666,True,12,7,True,0.0,0.0
U0204,0,0,1.0,1.0,False,7,4,True,0.30000000000000004,0.30000000000000004
U0208,1,1,0.9,0.8181818181818182,True,9,7,True,0.09999999999999998,0.09999999999999998
U0209,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U0221,0,0,1.0,1.0,False,4,3,True,0.6,0.6
U0224,0,0,1.0,1.0,False,5,3,True,0.5,0.5
U0229,1,1,0.9,0.8181818181818182,True,9,9,True,0.09999999999999998,0.09999999999999998
U0233,0,0,1.0,1.0,False,9,4,True,0.09999999999999998,0.09999999999999998
U0237,0,0,1.0,1.0,False,7,4,True,0.30000000000000004,0.30000000000000004
U0242,1,1,0.9,0.8181818181818182,True,10,5,True,0.0,0.0
U0247,0,0,1.0,1.0,False,8,4,True,0.19999999999999996,0.19999999999999996
U0251,1,1,0.9,0.8181818181818182,True,10,7,True,0.0,0.0
U0254,0,0,1.0,1.0,False,9,8,True,0.09999999999999998,0.09999999999999998
U0269,1,1,0.9,0.8181818181818182,True,11,6,True,0.0,0.0
U0277,0,0,1.0,1.0,False,6,5,True,0.4,0.4
U0278,0,0,1.0,1.0,False,7,7,True,0.30000000000000004,0.30000000000000004
U0282,0,0,1.0,1.0,False,7,5,True,0.30000000000000004,0.30000000000000004
U0284,0,0,1.0,1.0,False,10,8,True,0.0,0.0
U0294,1,1,0.9,0.8181818181818182,True,11,8,True,0.0,0.0
U0296,2,2,0.8,0.6666666666666666,True,20,16,True,0.0,0.0
U0298,0,0,1.0,1.0,False,8,4,True,0.19999999999999996,0.19999999999999996
U0309,2,2,0.8,0.6666666666666666,True,14,8,True,0.0,0.0
U0311,1,1,0.9,0.8181818181818182,True,10,8,True,0.0,0.0
U0312,0,0,1.0,1.0,False,10,4,True,0.0,0.0
U0320,0,0,1.0,1.0,False,8,4,True,0.19999999999999996,0.19999999999999996
U0331,2,2,0.8,0.6666666666666666,True,12,8,True,0.0,0.0
U0335,1,1,0.9,0.8181818181818182,True,11,9,True,0.0,0.0
U0339,0,0,1.0,1.0,False,8,6,True,0.19999999999999996,0.19999999999999996
U0343,0,0,1.0,1.0,False,9,4,True,0.09999999999999998,0.09999999999999998
U0345,1,1,0.9,0.8181818181818182,True,8,7,True,0.19999999999999996,0.19999999999999996
U0350,0,0,1.0,1.0,False,7,4,True,0.30000000000000004,0.30000000000000004
U0363,0,0,1.0,1.0,False,7,5,True,0.30000000000000004,0.30000000000000004
U0364,0,0,1.0,1.0,False,7,6,True,0.30000000000000004,0.30000000000000004
U0370,0,0,1.0,1.0,False,6,3,True,0.4,0.4
U0395,0,0,1.0,1.0,False,6,4,True,0.4,0.4
U0397,0,0,1.0,1.0,False,6,4,True,0.4,0.4
U0398,0,0,1.0,1.0,False,9,8,True,0.09999999999999998,0.09999999999999998
U0424,0,0,1.0,1.0,False,6,4,True,0.4,0.4
U0425,0,0,1.0,1.0,False,5,4,True,0.5,0.5
U0435,0,0,1.0,1.0,False,7,3,True,0.30000000000000004,0.30000000000000004
U0438,1,1,0.9,0.8181818181818182,True,10,6,True,0.0,0.0
U0446,2,2,0.8,0.6666666666666666,True,11,6,True,0.0,0.0
U0449,0,0,1.0,1.0,False,7,5,True,0.30000000000000004,0.30000000000000004
U0454,1,1,0.9,0.8181818181818182,True,9,9,True,0.09999999999999998,0.09999999999999998
U0462,0,0,1.0,1.0,False,10,7,True,0.0,0.0
U0465,2,2,0.8,0.6666666666666666,True,12,8,True,0.0,0.0
U0468,0,0,1.0,1.0,False,9,7,True,0.09999999999999998,0.09999999999999998
U0471,0,0,1.0,1.0,False,6,4,True,0.4,0.4
U0478,1,1,0.9,0.8181818181818182,True,11,6,True,0.0,0.0
U0479,0,0,1.0,1.0,False,4,2,True,0.6,0.6
U0489,2,2,0.8,0.6666666666666666,True,12,7,True,0.0,0.0
U0492,0,0,1.0,1.0,False,11,7,True,0.0,0.0
U0493,0,0,1.0,1.0,False,4,2,True,0.6,0.6
U0500,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U0552,0,0,1.0,1.0,False,5,3,True,0.5,0.5
U0553,2,2,0.8,0.6666666666666666,True,13,8,True,0.0,0.0
U0561,1,1,0.9,0.8181818181818182,True,13,8,True,0.0,0.0
U0562,0,0,1.0,1.0,False,6,3,True,0.4,0.4
U0564,0,0,1.0,1.0,False,9,7,True,0.09999999999999998,0.09999999999999998
U0587,0,0,1.0,1.0,False,10,4,True,0.0,0.0
U0591,1,1,0.9,0.8181818181818182,True,11,5,True,0.0,0.0
U0595,0,0,1.0,1.0,False,7,6,True,0.30000000000000004,0.30000000000000004
U0604,0,0,1.0,1.0,False,4,2,True,0.6,0.6
U0605,2,2,0.8,0.6666666666666666,True,14,11,True,0.0,0.0
U0613,0,0,1.0,1.0,False,8,6,True,0.19999999999999996,0.19999999999999996
U0620,5,5,0.5,0.3333333333333333,True,22,16,True,0.0,0.0
U0621,0,0,1.0,1.0,False,5,3,True,0.5,0.5
U0637,2,2,0.8,0.6666666666666666,True,11,10,True,0.0,0.0
U0638,0,0,1.0,1.0,False,6,6,True,0.4,0.4
U0642,3,3,0.7,0.5384615384615384,True,15,9,True,0.0,0.0
U0646,0,0,1.0,1.0,False,9,5,True,0.09999999999999998,0.09999999999999998
U0658,0,0,1.0,1.0,False,9,7,True,0.09999999999999998,0.09999999999999998
U0660,0,0,1.0,1.0,False,7,3,True,0.30000000000000004,0.30000000000000004
U0664,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U0669,0,0,1.0,1.0,False,6,5,True,0.4,0.4
U0682,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U0701,0,0,1.0,1.0,False,5,4,True,0.5,0.5
U0713,0,0,1.0,1.0,False,8,4,True,0.19999999999999996,0.19999999999999996
U0763,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U0787,1,1,0.9,0.8181818181818182,True,7,6,True,0.30000000000000004,0.30000000000000004
U0790,0,0,1.0,1.0,False,4,3,True,0.6,0.6
U0791,0,0,1.0,1.0,False,6,6,True,0.4,0.4
U0793,0,0,1.0,1.0,False,4,4,True,0.6,0.6
U0797,3,3,0.7,0.5384615384615384,True,15,13,True,0.0,0.0
U0802,1,1,0.9,0.8181818181818182,True,12,7,True,0.0,0.0
U0805,0,0,1.0,1.0,False,8,8,True,0.19999999999999996,0.19999999999999996
U0837,1,1,0.9,0.8181818181818182,True,11,5,True,0.0,0.0
U0842,0,0,1.0,1.0,False,3,2,True,0.7,0.7
U0843,0,0,1.0,1.0,False,9,4,True,0.09999999999999998,0.09999999999999998
U0848,2,2,0.8,0.6666666666666666,True,11,8,True,0.0,0.0
U0849,1,1,0.9,0.8181818181818182,True,11,5,True,0.0,0.0
U0861,0,0,1.0,1.0,False,4,5,True,0.6,0.6
U0877,0,0,1.0,1.0,False,6,5,True,0.4,0.4
U0879,2,2,0.8,0.6666666666666666,True,13,11,True,0.0,0.0
U0893,0,0,1.0,1.0,False,7,4,True,0.30000000000000004,0.30000000000000004
U0898,0,0,1.0,1.0,False,6,6,True,0.4,0.4
U0905,0,0,1.0,1.0,False,7,4,True,0.30000000000000004,0.30000000000000004
U0935,0,0,1.0,1.0,False,4,3,True,0.6,0.6
U0949,2,2,0.8,0.6666666666666666,True,14,8,True,0.0,0.0
U0950,0,0,1.0,1.0,False,8,6,True,0.19999999999999996,0.19999999999999996
U0965,0,0,1.0,1.0,False,7,5,True,0.30000000000000004,0.30000000000000004
U0973,1,1,0.9,0.8181818181818182,True,10,7,True,0.0,0.0
U0981,1,1,0.9,0.8181818181818182,True,12,10,True,0.0,0.0
U0990,1,1,0.9,0.8181818181818182,True,9,7,True,0.09999999999999998,0.09999999999999998
U0999,3,3,0.7,0.5384615384615384,True,15,11,True,0.0,0.0
U1003,0,0,1.0,1.0,False,10,6,True,0.0,0.0
U1027,2,2,0.8,0.6666666666666666,True,11,6,True,0.0,0.0
U1033,3,3,0.7,0.5384615384615384,True,13,9,True,0.0,0.0
U1038,1,1,0.9,0.8181818181818182,True,10,9,True,0.0,0.0
U1041,0,0,1.0,1.0,False,7,2,True,0.30000000000000004,0.30000000000000004
U1048,2,2,0.8,0.6666666666666666,True,12,7,True,0.0,0.0
