user_id,gender,age_group,location,candidate_count,baseline_top10_posts,fairness_top10_posts,items_entering_top10,items_leaving_top10,num_items_entering,changed_positions_count,baseline_top10_scores,fairness_top10_scores,baseline_top10_mean_score,fairness_top10_mean_score,score_changed,ranking_changed,top_k_membership_changed
U0002,Female,26-35,Mumbai,12,P01038;P04834;P01579;P00505;P01957;P01573;P00624;P03338;P04833;P00461,P01038;P04834;P00505;P01579;P01573;P03338;P00624;P03580;P04833;P00149,P00149;P03580,P01957;P00461,2,8,0.7701;0.7286;0.6875;0.6527;0.5834;0.4670;0.3861;0.3506;0.3262;0.2694,0.8970;0.6914;0.6203;0.6090;0.5958;0.5421;0.5234;0.5211;0.5188;0.5000,0.5221570134162903,0.6018793799822284,True,True,True
U0035,Female,26-35,Other,11,P03121;P00484;P02995;P01956;P04422;P03637;P04109;P01774;P02998;P00389,P02995;P03637;P03121;P04422;P04109;P02998;P01774;P01956;P00484;P00389,None,None,0,9,0.5943;0.5610;0.5481;0.4587;0.4538;0.4266;0.4232;0.3981;0.3232;0.2362,0.9181;0.7799;0.7619;0.7152;0.6624;0.6157;0.6091;0.5756;0.4564;0.4231,0.44231119751930237,0.6517422040542458,True,True,False
U0072,Female,26-35,Mumbai,9,P00352;P00071;P02639;P02262;P01787;P02573;P03777;P01851;P00291,P02262;P01851;P02573;P03777;P01787;P00352;P02639;P00071;P00291,None,None,0,7,0.7514;0.6593;0.6489;0.6407;0.6031;0.5989;0.5874;0.3367;0.2037,0.7761;0.6214;0.5824;0.5784;0.5304;0.5000;0.4450;0.4267;0.2242,0.5589075088500977,0.5205313197521516,True,True,False
U0006,Female,56+,Pune,9,P02329;P00263;P00456;P02583;P04113;P02211;P02212;P00975;P00398,P00456;P02583;P02329;P00398;P04113;P02211;P00263;P00975;P02212,None,None,0,6,0.7401;0.4798;0.4797;0.4623;0.3679;0.3397;0.3262;0.3119;0.2189,0.7211;0.5825;0.5000;0.5000;0.4583;0.3943;0.3435;0.2983;0.2431,0.4140514135360718,0.449028433462905,True,True,False
U0137,Female,56+,Other,15,P02165;P00659;P02485;P01002;P02915;P00047;P02144;P03427;P01559;P04041,P02144;P01559;P01002;P02915;P03456;P02165;P02485;P00047;P03427;P04913,P03456;P04913,P04041;P00659,2,14,0.7979;0.7811;0.7411;0.7163;0.6832;0.5860;0.4962;0.4525;0.4464;0.4448,0.7332;0.6591;0.6094;0.6046;0.6024;0.5778;0.5655;0.5602;0.5550;0.5000,0.6145565509796143,0.5967327186556822,True,True,True
U0202,Female,56+,Pune,13,P00322;P01466;P01861;P03627;P00792;P03525;P04471;P01151;P01569;P04315,P00792;P01861;P04315;P01151;P01466;P04163;P00322;P03627;P04471;P01177,P04163;P01177,P01569;P03525,2,12,0.7467;0.7442;0.7199;0.6863;0.6474;0.6419;0.5714;0.5379;0.4999;0.3878,0.8357;0.7784;0.6890;0.6289;0.6074;0.5819;0.5720;0.5623;0.5354;0.4851,0.6183403730392456,0.6276116180795871,True,True,True
U0037,Female,18-25,Other,2,P04359;P04334,P04359;P04334,None,None,0,0,0.7966;0.4173,0.5000;0.5000,0.6069090962409973,0.5,True,False,False
U0075,Female,18-25,Kolkata,1,P00625,P00625,None,None,0,0,0.2854,0.0000,0.28540101647377014,0.0,True,False,False
U0164,Female,18-25,Hyderabad,11,P04007;P04771;P01093;P02696;P01303;P03817;P00914;P02466;P01250;P04027,P04771;P03817;P02696;P00914;P04007;P02466;P01303;P01093;P04027;P01250,None,None,0,10,0.6842;0.6684;0.6151;0.5990;0.5975;0.5553;0.5407;0.5323;0.3465;0.3304,0.9601;0.8277;0.7173;0.6491;0.5977;0.5243;0.4429;0.4076;0.4013;0.3382,0.5469516515731812,0.5866311261408578,True,True,False
U0201,Female,36-45,Pune,7,P01042;P01826;P02729;P04318;P01204;P01990;P04841,P01204;P02729;P04318;P01990;P01826;P01042;P04841,None,None,0,6,0.6729;0.6495;0.5367;0.4740;0.4293;0.2858;0.1409,0.6315;0.5900;0.5594;0.5300;0.5088;0.5000;0.5000,0.4556194841861725,0.5456773513964133,True,True,False
