user_id,post_id,baseline_score,fairness_score,baseline_rank,fairness_rank,gender,age_group,location
U0002,P01038,0.77008265,0.8969588362409742,1,1,Female,26-35,Mumbai
U0002,P04834,0.72859895,0.691394540910533,2,2,Female,26-35,Mumbai
U0002,P00505,0.6526519,0.6202754112103765,4,3,Female,26-35,Mumbai
U0002,P01579,0.687488,0.6089649468413744,3,4,Female,26-35,Mumbai
U0002,P01573,0.46704477,0.5957765347424302,6,5,Female,26-35,Mumbai
U0002,P03338,0.35064754,0.5421152329443943,8,6,Female,26-35,Mumbai
U0002,P00624,0.38608292,0.5233847088968473,7,7,Female,26-35,Mumbai
U0002,P03580,0.23973243,0.521096927961608,11,8,Female,26-35,Mumbai
U0002,P04833,0.3261505,0.5188266600737468,9,9,Female,26-35,Mumbai
U0002,P00149,0.1534219,0.5,12,10,Female,26-35,Mumbai
U0002,P00461,0.26938757,0.39498111159033517,10,11,Female,26-35,Mumbai
U0002,P01957,0.5834352,0.34866276383399963,5,12,Female,26-35,Mumbai
U0034,P03818,0.61875373,0.6419140089090545,3,1,Male,26-35,Mumbai
U0034,P04999,0.7594921,0.5831652977917671,1,2,Male,26-35,Mumbai
U0034,P03726,0.70576376,0.5671050924684484,2,3,Male,26-35,Mumbai
U0034,P00706,0.1799707,0.5,11,4,Male,26-35,Mumbai
U0034,P00671,0.4423164,0.4968185272737067,8,5,Male,26-35,Mumbai
U0034,P01072,0.48595828,0.48187266112616817,7,6,Male,26-35,Mumbai
U0034,P04503,0.56549287,0.4618937979980747,4,7,Male,26-35,Mumbai
U0034,P03219,0.4238332,0.423477159468146,9,8,Male,26-35,Mumbai
U0034,P02523,0.521001,0.3430467004405586,5,9,Male,26-35,Mumbai
U0034,P01285,0.23804425,0.32652731276200303,10,10,Male,26-35,Mumbai
U0034,P04247,0.49191207,0.26913705468177795,6,11,Male,26-35,Mumbai
U0098,P01099,0.6362875,0.6761917161077002,2,1,Male,18-25,Pune
U0098,P01397,0.36345136,0.5703235509877707,11,2,Male,18-25,Pune
