feature,mean_absolute_shap
author_user_similarity,0.3188929
topic_similarity,0.2964593
post_age_hours,0.17983344
engagement,0.1522077
network_distance,0.10675884
previous_interactions,0.10050847
experience_years,0.05491747
network_size,0.039044864
author_experience,0.036998384
author_network_size,0.035674885
education_Masters,0.018106394
professional_field_Design,0.016694918
professional_field_Computer Science,0.015895922
content_type_Job Opportunity,0.013848981
post_topic_AI,0.010928336
post_topic_Data Science,0.009281727
professional_field_Data Science,0.008600419
content_type_Text,0.008056132
post_topic_Finance,0.007898441
content_type_Image,0.007743923
content_type_Article,0.0068078986
professional_field_HR,0.006086196
education_Diploma,0.0060560615
post_topic_Career,0.005895714
post_topic_Machine Learning,0.00547222
content_type_Video,0.004651686
professional_field_Engineering,0.0045799166
post_topic_Marketing,0.0044809263
professional_field_Finance,0.0044239303
professional_field_Business,0.0043421607
post_topic_Leadership,0.004261241
education_Bachelors,0.0041399878
education_PhD,0.003581666
post_topic_Design,0.0032413686
professional_field_Marketing,0.003140494
professional_field_Other,0.0030361337
post_topic_Software,0.0026078841
