user_id,post_id,recommendation_score,interaction,rank
U0001,P01235,0.7050188,1,1
U0001,P02463,0.64429027,0,2
U0001,P03731,0.5837033,1,3
U0001,P00941,0.54639757,0,4
U0001,P02703,0.5171393,0,5
U0001,P02138,0.5019078,1,6
U0001,P04929,0.4939847,0,7
U0001,P02965,0.47848132,1,8
U0001,P04516,0.4552262,0,9
U0001,P01746,0.45145136,0,10
U0002,P04834,0.7887008,1,1
U0002,P01038,0.7874803,1,2
U0002,P01579,0.7210933,0,3
U0002,P00505,0.6521362,1,4
U0002,P01573,0.4658077,1,5
U0002,P01957,0.45884335,0,6
U0002,P00624,0.44736806,0,7
U0002,P04833,0.42620787,1,8
U0002,P03338,0.28397828,0,9
U0002,P03580,0.2424449,1,10
U0003,P02885,0.66984314,1,1
U0003,P01515,0.57195497,1,2
U0003,P00582,0.36766046,0,3
U0003,P02012,0.19017185,0,4
U0004,P02784,0.8381311,1,1
U0004,P04604,0.7694232,1,2
U0004,P03386,0.7482446,1,3
U0004,P00689,0.65650105,1,4
U0004,P01710,0.49106178,0,5
U0004,P04183,0.42189834,0,6
U0005,P00945,0.777806,1,1
U0005,P04417,0.76375884,1,2
U0005,P01368,0.7255407,0,3
U0005,P00185,0.6920491,1,4
U0005,P02271,0.6577555,1,5
U0005,P00948,0.61063206,0,6
U0005,P02539,0.60201204,0,7
U0005,P04456,0.5761814,0,8
U0005,P03531,0.5720264,1,9
U0005,P01997,0.51868033,1,10
U0006,P02329,0.75042593,1,1
U0006,P00263,0.5291611,1,2
U0006,P00456,0.5218036,1,3
U0006,P04113,0.45929304,1,4
U0006,P02583,0.45091125,0,5
U0006,P02212,0.31135765,0,6
U0006,P02211,0.305982,0,7
U0006,P00975,0.27530423,0,8
U0006,P00398,0.2653938,0,9
U0007,P01362,0.7650348,1,1
U0007,P02339,0.76383585,1,2
U0007,P03032,0.75014734,1,3
U0007,P00011,0.7335677,0,4
U0007,P04329,0.7323488,1,5
U0007,P04948,0.6150752,1,6
U0007,P01386,0.56438,1,7
U0007,P01625,0.5120394,1,8
U0007,P00446,0.46592122,1,9
U0007,P01981,0.39912006,0,10
U0008,P00872,0.8568553,1,1
U0008,P02317,0.77302074,1,2
U0008,P00934,0.69560266,1,3
U0008,P02342,0.48313782,1,4
U0008,P01261,0.48055166,0,5
U0008,P02490,0.43503925,0,6
U0008,P00378,0.22074103,0,7
U0009,P04365,0.671971,1,1
U0009,P00550,0.6137602,1,2
U0009,P00230,0.5681155,1,3
U0009,P00579,0.5538457,1,4
U0009,P02727,0.5239609,0,5
U0009,P02419,0.45486808,0,6
U0009,P00732,0.4353301,1,7
U0009,P04306,0.435116,0,8
U0009,P03628,0.34422484,0,9
U0009,P01166,0.25866368,0,10
U0010,P02801,0.74062663,1,1
U0010,P02179,0.6631318,1,2
U0010,P02686,0.55794644,0,3
U0010,P02198,0.5383315,0,4
U0010,P03965,0.37703335,0,5
U0011,P03935,0.78340644,0,1
U0011,P00001,0.6432963,1,2
U0011,P04479,0.44225305,0,3
U0011,P04059,0.31674647,0,4
U0012,P01860,0.7174288,1,1
U0012,P04209,0.60255325,1,2
U0012,P04701,0.59945345,1,3
U0012,P04988,0.5061695,1,4
U0012,P01604,0.49505454,0,5
U0012,P04912,0.43629014,1,6
U0012,P00250,0.31744796,0,7
U0012,P03326,0.27480215,0,8
U0012,P02787,0.24727623,0,9
U0012,P02082,0.18963148,0,10
U0013,P02347,0.62631446,1,1
U0013,P01569,0.6031542,1,2
U0013,P01905,0.57880497,0,3
U0013,P04302,0.5507562,0,4
U0013,P00648,0.51690376,0,5
U0013,P00523,0.4825764,1,6
U0013,P04083,0.48081774,1,7
U0013,P04542,0.43219352,0,8
U0013,P03932,0.28246698,0,9
U0013,P00283,0.25890905,0,10
U0014,P03350,0.77813774,1,1
U0014,P02272,0.6882325,1,2
U0014,P00296,0.68487376,1,3
U0014,P03184,0.5826888,1,4
U0014,P04503,0.5563085,1,5
