user_id,post_id,author_id,age_group,gender,location,professional_field,experience_years,education,network_size,previous_interactions,post_topic,content_type,engagement,author_user_similarity,topic_similarity,post_age_hours,author_experience,author_network_size,network_distance,interaction_probability,interaction
U0234,P01910,A1658,26-35,Male,Delhi,Business,6.3,Masters,552,16,AI,Job Opportunity,0.3545,0.6148,0.5335,6.9,2.4,1129,1,0.6218,0
U0952,P00581,A0063,18-25,Female,Other,Other,2.6,PhD,293,20,Software,Text,0.5121,0.8873,0.6062,1.6,3.1,597,3,0.7443,1
U0845,P03060,A1573,18-25,Female,Hyderabad,Data Science,8.8,PhD,157,24,Marketing,Article,0.2961,0.8069,0.6912,23.9,11.6,361,2,0.7321,1
U2489,P00924,A0229,18-25,Male,Kolkata,Data Science,1.0,Bachelors,350,17,Marketing,Text,0.3724,0.8871,0.4545,61.0,5.5,357,1,0.5972,0
U1084,P04646,A1863,46-55,Male,Delhi,Other,4.5,Masters,198,25,Data Science,Video,0.0973,0.5766,0.7201,22.3,7.2,1205,1,0.627,1
U0616,P02319,A0064,36-45,Female,Mumbai,Finance,2.5,Bachelors,108,15,AI,Text,0.1669,0.432,0.6241,95.5,4.0,298,2,0.2964,0
U1421,P00403,A0865,36-45,Male,Mumbai,Computer Science,5.9,Masters,576,18,Finance,Text,0.2427,0.4496,0.5973,52.9,8.7,54,2,0.4302,1
U1830,P01403,A0849,26-35,Female,Delhi,Finance,9.0,Bachelors,418,23,Finance,Video,0.2482,0.7225,0.2709,31.6,7.7,440,3,0.4684,1
U0825,P04094,A1163,46-55,Female,Hyderabad,Finance,2.4,Masters,1963,9,Finance,Article,0.0426,0.8276,0.747,21.1,4.2,684,1,0.6452,0
U2477,P00869,A0860,18-25,Male,Kolkata,Computer Science,10.1,Bachelors,307,18,Leadership,Article,0.5854,0.4179,0.8515,55.8,4.0,284,3,0.5761,0
U2954,P00027,A1455,46-55,Male,Other,Other,4.5,Bachelors,587,14,Marketing,Video,0.7049,0.3047,0.5753,105.8,1.6,456,2,0.3266,0
U0090,P00931,A1982,26-35,Female,Chennai,Finance,4.4,Bachelors,132,21,Career,Video,0.3289,0.325,0.5943,0.7,6.1,458,3,0.4542,1
U2187,P00236,A1626,36-45,Male,Bengaluru,Other,5.9,Bachelors,211,15,Design,Article,0.0655,0.7087,0.7615,24.7,2.7,211,4,0.5526,1
U0505,P03643,A0359,26-35,Female,Kolkata,Design,4.7,Bachelors,152,22,Leadership,Article,0.3597,0.6328,0.7817,9.8,4.7,1256,2,0.7009,0
U0256,P04307,A0534,36-45,Female,Other,Data Science,3.2,Diploma,191,20,Career,Image,0.2953,0.5867,0.8788,18.3,3.4,223,2,0.667,1
U2895,P03900,A0561,56+,Male,Bengaluru,Computer Science,2.3,Bachelors,242,18,Marketing,Job Opportunity,0.331,0.3126,0.626,155.1,8.0,690,4,0.1765,0
U2936,P01060,A0255,26-35,Female,Other,Engineering,3.6,Bachelors,1126,24,Career,Job Opportunity,0.0532,0.3284,0.5408,6.2,3.3,350,2,0.3936,1
U2368,P03179,A1835,26-35,Female,Kolkata,HR,1.4,Bachelors,201,20,Marketing,Video,0.2531,0.5944,0.2371,67.2,8.6,346,3,0.2778,1
U2505,P03199,A1236,18-25,Female,Chennai,Business,3.1,Bachelors,161,16,Leadership,Job Opportunity,0.4768,0.6673,0.6058,9.2,3.0,282,3,0.6158,1
U2782,P03961,A1602,18-25,Female,Mumbai,Marketing,4.1,Masters,224,12,Career,Image,0.3338,0.8961,0.8393,59.6,10.7,121,2,0.7011,1
U2747,P02986,A0440,18-25,Male,Chennai,Data Science,2.5,PhD,673,17,Career,Text,0.5284,0.3606,0.7272,79.3,6.9,421,4,0.3757,0
U2621,P01219,A1363,46-55,Male,Other,HR,4.1,Diploma,323,15,Career,Text,0.3291,0.7228,0.394,27.7,12.5,218,4,0.442,1
U0969,P01711,A1917,26-35,Male,Hyderabad,Computer Science,3.5,Masters,357,14,Leadership,Job Opportunity,0.5644,0.867,0.1504,3.7,7.8,129,3,0.5595,1
U2019,P00972,A0078,26-35,Female,Bengaluru,Computer Science,1.1,PhD,554,12,Marketing,Article,0.1486,0.8217,0.4583,9.6,8.7,412,3,0.5243,0
U0800,P04612,A1047,36-45,Male,Mumbai,Finance,3.7,Masters,508,15,Marketing,Video,0.2277,0.3903,0.66,10.1,1.3,406,2,0.4808,0
U0710,P04631,A0098,26-35,Female,Mumbai,Design,7.5,Diploma,386,16,Data Science,Video,0.0432,0.5721,0.7891,142.7,4.5,431,1,0.3591,0
U2181,P00182,A1443,36-45,Female,Delhi,Data Science,7.6,PhD,133,21,Finance,Image,0.2286,0.3408,0.7034,20.6,1.1,238,1,0.523,0
U2433,P02319,A0258,26-35,Female,Other,Engineering,3.0,Diploma,213,16,AI,Text,0.1669,0.5507,0.5788,95.5,4.0,298,1,0.3501,0
U2213,P00667,A0167,46-55,Female,Hyderabad,Data Science,5.0,Diploma,201,13,Data Science,Image,0.1356,0.7664,0.6283,15.6,5.5,547,1,0.6239,0
U1490,P04532,A1612,26-35,Male,Mumbai,Engineering,3.1,Masters,157,18,Design,Text,0.2221,0.8071,0.5935,7.6,3.8,114,3,0.6417,1
U1685,P01588,A0363,18-25,Female,Mumbai,Engineering,4.5,Masters,226,22,Career,Article,0.2012,0.3012,0.3865,47.4,9.1,226,5,0.216,1
U0310,P00394,A0386,18-25,Male,Chennai,Engineering,1.4,Bachelors,284,20,Software,Article,0.2389,0.5978,0.7017,12.2,8.3,232,2,0.6102,0
U1358,P01574,A0635,26-35,Male,Mumbai,Engineering,2.9,Masters,169,17,Machine Learning,Text,0.5427,0.524,0.4938,7.5,4.3,492,2,0.5752,1
U0203,P01474,A0873,26-35,Female,Pune,Marketing,5.1,Bachelors,302,19,Design,Article,0.1475,0.3259,0.791,31.1,5.0,182,3,0.422,0
U2816,P04058,A0621,26-35,Female,Bengaluru,Engineering,6.1,Bachelors,93,19,AI,Text,0.3456,0.631,0.3914,8.7,5.7,636,3,0.5156,0
U1646,P02068,A1821,26-35,Female,Delhi,Data Science,5.5,Masters,423,17,Leadership,Text,0.4372,0.4449,0.793,31.2,5.1,306,1,0.6164,1
